Preguntas,Respuestas,,
¿En qué año murió Margaret Thatcher?,En abril de 2013. Fue la primera mujer que ocupó el puesto de primer ministro del Reino Unido.,,
¿En qué año se publicó la primera parte de Don Quijote de la Mancha?,"En 1605. La segunda parte se publicó en 1615, poco antes de morir Cervantes.",,
¿Cuántos países reconocidos existen en todo el mundo?,"En la actualidad, se han reconocido un total de 195 países. 193 son miembros de Naciones Unidas y los dos restantes son el Estado de Palestina y la Santa Sede.",,
¿Cuál es la temperatura más baja que se puede registrar en el universo?,"-273,14°C, como bien apuntan los investigadores. Eso se piensa a nivel teórico, ya que no se ha alcanzado estos niveles en un laboratorio (sí se han logrado temperaturas muy cercanas al valor). Se conoce como cero absoluto, ya se corresponde con los 0°K.",,
¿En qué año se lanzó el primer viaje a la Luna?,En 1969. Revisa la reseña que la NASA tiene publicada en su página página oficial para conocer sus pormenores.,,
¿Cuál es el país más grande del mundo?,"Rusia, con un valor aproximado de 17 millones de kilómetros cuadrados.",,
¿Cuántos elementos hay en la tabla periódica?,Hasta el momento hay 118 elementos químicos. No se descarta que durante los próximos años o décadas este número aumente con nuevos descubrimientos. Se trata de una de las preguntas de cultura general más importantes de nuestra lista.,,
¿Cuántas válvulas tiene el corazón humano?,"Son cuatro: mitral, tricúspide, pulmonar y aórtica.",,
¿Cuál es la isla más grande del Mediterráneo?,Sicilia. Su extensión es de aproximadamente 25 460 kilómetros cuadrados.,,
¿Cuántos pares de costillas tiene un humano promedio?,"El humano promedio tiene 12 costillas a cada lado, para un total de 24.",,
¿Cuál es el tiempo estimado del Universo?,Los científicos están de acuerdo en que el Universo tiene 13 800 millones de años. Una de las preguntas básicas de cultura general que toda persona debería conocer la respuesta.,,
¿En qué año se estrenó la película Titanic?,"En 1997. Fue un éxito desde su estreno, tanto en la taquilla como frente la crítica (se alzó con 11 Premios Óscar).",,
¿Cuáles son los colores primarios?,"El rojo, el amarillo y el azul.",,
¿Cuál es el continente más seco de la Tierra?,"La Antártica. Esto se debe a que algunas áreas cuentan con un nivel extremadamente bajo de humedad, lo cual se combina con ventiscas y una altura elevada. Los Valles Secos de McMurdo se consideran el lugar más árido del planeta (representan solo el 0,03 % del continente).",,
¿Cuál es la capital de Bielorrusia?,Minsk. Se extiende sobre 509 km² y reúne a poco más de dos millones de personas.,,
¿Quién fue el primer rey de Israel según la Biblia?,Saúl. Se hace referencia a ello en el “Primer Libro de Samuel”.,,
